company_name,website,sector,contact_name,email,linkedin,location,employee_count,source,ai_score,ai_reason,tag,phone,google_rating,place_id,search_town,category,enrichment_source,enrichment_status,ai_enriched,email_guessed,contact_verified,generic_email,contact_names,personal_email_guesses,contact_titles,multiple_contacts,principal_name,principal_email_guess,facebook_url,contact_email,team_email_guesses,email_type,name_review_needed,missing_email,website_verified,data_score,enrichment_attempts,confidence_score,refinement_notes,contact_source,last_enriched_date,mailshot_category,missing_name_final,data_quality
Yvette Mann Podiatry,https://www.yvettemannpodiatry.co.uk/,General Wellness,,,,"Milford, Godalming GU8 5HZ, UK",,,8,Podiatry requires a clinical space for patient consultations and treatments.,clinic-target,01483 310298,5/5 (4 reviews),,,unit8,companies_house,incomplete,,,false,enquiries@yvettemannpodiatry.co.uk,Yvette Mann Podiatry,yvette.podiatry@yvettemannpodiatry.co.uk; y.podiatry@yvettemannpodiatry.co.uk; yvettep@yvettemannpodiatry.co.uk; yp@yvettemannpodiatry.co.uk; podiatry@yvettemannpodiatry.co.uk; yvette@yvettemannpodiatry.co.uk; yvette_podiatry@yvettemannpodiatry.co.uk; yvettepodiatry@yvettemannpodiatry.co.uk,,FALSE,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:Yvette Mann Podiatry; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
Notley Facial Aesthetics,https://www.notleydentalcare.co.uk/facial-aesthetics/,General Wellness,,info@notleydentalcare.co.uk,,"17 Ockford Rd, Godalming GU7 1QU, UK",,,9,Suitable for client-facing health/wellness practices and requires a professional space.,wellness,01483 417102,5/5 (29 reviews),,,unit8,website,missing_name,,false,false,info@notleydentalcare.co.uk,Notley Facial Aesthetics; Dr Kylie Mouton-manhem; Nilay Ucer; Anti Wrinkle; Lip Fillers; Dermal Fillers; Facial Aesthetics Practitioner,dermal.fillers@notleydentalcare.co.uk; d.fillers@notleydentalcare.co.uk; dermal@notleydentalcare.co.uk; fillers@notleydentalcare.co.uk; dermal_fillers@notleydentalcare.co.uk; dermalfillers@notleydentalcare.co.uk; dermalf@notleydentalcare.co.uk; df@notleydentalcare.co.uk,; Dentist; Facial Aesthetics Practitioner; ; ; ; ,TRUE,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:Dermal Fillers; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
Witley Dental Surgery,https://www.witleydentalpractice.co.uk/,Dental,,,,"Witley, Godalming GU8 5NA, UK",,,8,Private dental practice suitable for client-facing health services,clinic-target,01428 684284,4.6/5 (8 reviews),,,unit8,not_found,missing_name_final,,,,info@witleydentalpractice.co.uk,,,,,,,,,,generic,,,,,2,1,website_no_data; website_no_data; marked_missing_name_final,,2026-02-10,fallback,true,
Tooth Club - Guildford,https://www.toothclub.co.uk/tooth-club-guildford/,General Wellness,,guildford@toothclub.co.uk,,"45 High St, Guildford GU1 3DY, UK",,,6,Small dental practice suitable for client-facing services but may require more space for equipment and patient flow.,clinic-target,0333 241 9130,4.8/5 (37 reviews),,,unit8,website,missing_name_final,,false,,info@toothclub.co.uk,Tooth Club,guildford@toothclub.co.uk; tooth.club@toothclub.co.uk; t.club@toothclub.co.uk; tooth@toothclub.co.uk; club@toothclub.co.uk; tooth_club@toothclub.co.uk; toothclub@toothclub.co.uk; toothc@toothclub.co.uk; tc@toothclub.co.uk,,FALSE,,,,,,both,,,,,2,2,website_no_data; placeholder_name_detected:Tooth Club; marked_missing_name_final,,2026-02-10,priority,true,
Church Street Podiatry Ltd,http://churchstreetpodiatry.com/,General Wellness,,,,"16 Church St, Godalming GU7 1EW, UK",,,9,Podiatry requires a clinical space for patient consultations and treatments.,clinic-target,01483 428680,5/5 (2 reviews),,,unit8,companies_house,incomplete,,,false,info@churchstreetpodiatry.com,Church Street,church.street@churchstreetpodiatry.com; c.street@churchstreetpodiatry.com; churchs@churchstreetpodiatry.com; cs@churchstreetpodiatry.com; street@churchstreetpodiatry.com; church@churchstreetpodiatry.com; church_street@churchstreetpodiatry.com; churchstreet@churchstreetpodiatry.com,,FALSE,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:Church Street; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
"Gill Brennan Counselling, Godalming",http://www.godalmingcounsellor.com/,Mental Health,,,,"51 Maplehatch Cl, Godalming GU7 1TH, UK",,,9,"Counselling is a client-facing health practice suitable for a quiet, professional space.",wellness,07947 424538,,,,unit8,companies_house,incomplete,,,false,info@godalmingcounsellor.com,Carl Rogers,carl.rogers@godalmingcounsellor.com; c.rogers@godalmingcounsellor.com; carlr@godalmingcounsellor.com; cr@godalmingcounsellor.com; rogers@godalmingcounsellor.com; carl@godalmingcounsellor.com; carl_rogers@godalmingcounsellor.com; carlrogers@godalmingcounsellor.com,,FALSE,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:BACP Therapist; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
Lalida Therapy,http://www.lalidatherapy.com/,General Wellness,,,,"Bridge St, Godalming GU7 1HW, UK",,,9,"Lalida Therapy fits well as a client-facing health and wellness practice, suitable for therapeutic services.",wellness,,,,,unit8,not_found,missing_name_final,,,,info@lalidatherapy.com,,,,,,,,,,generic,,,,,2,1,website_no_data; website_no_data; marked_missing_name_final,,2026-02-10,fallback,true,
Suzanna De Silva - Silva Counselling,http://www.silvacounselling.co.uk/,Counselling,,,,"Brook, Godalming GU8 5UQ, UK",,,9,"Counselling services require a quiet, professional space for client sessions.",wellness,07471 213413,5/5 (3 reviews),,,unit8,companies_house,incomplete,,,false,info@silvacounselling.co.uk,,suzanna.silva@silvacounselling.co.uk | s.silva@silvacounselling.co.uk | suzanna@silvacounselling.co.uk | silva@silvacounselling.co.uk | suzanna_silva@silvacounselling.co.uk | suzannasilva@silvacounselling.co.uk | suzannas@silvacounselling.co.uk | ss@silvacounselling.co.uk,,,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:Suzanna De Silva; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
Farnham Road Hospital,http://www.sabp.nhs.uk/,General Wellness,,,http://www.linkedin.com/company/nhs-surrey-and-borders-partnership,"Farnham Rd, Guildford GU2 7LX",,,2,NHS public sector clinic not suitable for small professional space,clinic-target,0300 555 5222,2.3/5 (35 reviews),,,unit8,website,missing_name_final,,,,info@sabp.nhs.uk,Borders Partnership; Healthcare Professionals; Crisis Support; Single Sex Accommodation,healthcare.professionals@sabp.nhs.uk; h.professionals@sabp.nhs.uk; healthcare@sabp.nhs.uk; professionals@sabp.nhs.uk; healthcare_professionals@sabp.nhs.uk; healthcareprofessionals@sabp.nhs.uk; healthcarep@sabp.nhs.uk; hp@sabp.nhs.uk,; ; ; ,TRUE,,,,,crisis.support@sabp.nhs.uk; c.support@sabp.nhs.uk; crisis@sabp.nhs.uk; support@sabp.nhs.uk; crisis_support@sabp.nhs.uk; crisissupport@sabp.nhs.uk; crisiss@sabp.nhs.uk; cs@sabp.nhs.uk,generic,,,,,2,2,rejected_invalid_name:Borders Partnership; rejected_invalid_name:Borders Partnership; marked_missing_name_final,,2026-02-10,priority,true,
Surrey & Borders Partnership NHS Trust,http://www.sabp.nhs.uk/,General Wellness,,,http://www.linkedin.com/company/nhs-surrey-and-borders-partnership,"65 Cranley Rd, Guildford GU1 2JW, UK",,,2,NHS trust not suitable for small professional space,clinic-target,0300 555 5222,5/5 (1 reviews),,,unit8,website,missing_name_final,,,,info@sabp.nhs.uk,Borders Partnership; Healthcare Professionals; Crisis Support; Single Sex Accommodation,healthcare.professionals@sabp.nhs.uk; h.professionals@sabp.nhs.uk; healthcare@sabp.nhs.uk; professionals@sabp.nhs.uk; healthcare_professionals@sabp.nhs.uk; healthcareprofessionals@sabp.nhs.uk; healthcarep@sabp.nhs.uk; hp@sabp.nhs.uk,; ; ; ,TRUE,,,,,crisis.support@sabp.nhs.uk; c.support@sabp.nhs.uk; crisis@sabp.nhs.uk; support@sabp.nhs.uk; crisis_support@sabp.nhs.uk; crisissupport@sabp.nhs.uk; crisiss@sabp.nhs.uk; cs@sabp.nhs.uk,generic,,,,,2,2,rejected_invalid_name:Borders Partnership; rejected_invalid_name:Borders Partnership; marked_missing_name_final,,2026-02-10,priority,true,
Pilates at the Core,http://www.facebook.com/pilatesatthecore,General Wellness,,,,"Witley, Godalming GU8 5RH, UK",,,7,Small pilates studio suitable for group classes,"wellness,facebook-only,facebook-only,facebook-only,facebook-only,facebook-only",07815 697655,,,,unit8,not_found,incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,
Clock Barn Studio,http://www.clockbarnstudio.com/,Yoga/Pilates,,,,"Hydestile, Godalming GU8 4AY, UK",,,5,Fitness-focused business that may not fully utilize the clinical space,wellness,01483 414147,,,,unit8,not_found,incomplete,,,,info@clockbarnstudio.com,,,,,,,,,,generic,,,,,1,1,website_no_data,,2026-02-10,fallback,,
The Mummas Village Godalming,https://www.themummasvillage.co.uk/,"The Mummas Village provide you with a network of experts and other parents to educate, support and guide you through your pregnancy and parenting journey at every stage. We offer evidence based, logic",,,,"15 Queen St, Godalming GU7 1BA, UK",,,6,Wellness-focused but may be larger than suitable for Unit 8,wellness,07739 230937,5/5 (19 reviews),,,unit8,companies_house,incomplete,,,false,info@themummasvillage.co.uk,,join.class@themummasvillage.co.uk | j.class@themummasvillage.co.uk | join@themummasvillage.co.uk | class@themummasvillage.co.uk | join_class@themummasvillage.co.uk | joinclass@themummasvillage.co.uk | joinc@themummasvillage.co.uk | jc@themummasvillage.co.uk,,,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:JOIN A CLASS; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
HKôre Studios - Reformer Pilates,https://hkore.co.uk/,Yoga/Pilates,,hkorestudios@gmail.com,,"Surrey, Unit A",,,6,"Reformer Pilates can fit in a small space, but may require more room for group classes.",wellness,07411 948779,5/5 (2 reviews),,,unit8,website,missing_name,,false,,info@hkore.co.uk,Reformer Pilates; Pricing Plans; Black Facebook Icon; Black Instagram Icon,pricing.plans@hkore.co.uk; p.plans@hkore.co.uk; pricing@hkore.co.uk; plans@hkore.co.uk; pricing_plans@hkore.co.uk; pricingplans@hkore.co.uk; pricingp@hkore.co.uk; pp@hkore.co.uk,; ; ; ,TRUE,,,,,,both,,,,,1,2,rejected_invalid_name:Reformer Pilates,,2026-02-10,priority,,
Godalming Goat Yoga,https://godalminggoatyoga.com/,Yoga/Pilates,,,,"Milford, Godalming GU8 5DS, UK",,,6,Yoga studio may fit but could outgrow the space,wellness,,5/5 (20 reviews),,,unit8,not_found,incomplete,,,,info@godalminggoatyoga.com,,,,,,,,,,generic,,,,,1,1,website_no_data,,2026-02-10,fallback,,
Nourished Moves,https://www.nourishedmoves.com/,General Wellness,,annie@nourishedmoves.com,https://www.linkedin.com/in/annie-hearle-29b918269/,"Wiggins Yard, Godalming GU7 1HL, UK",,,6,Currently home-based looking to upgrade to a professional space,wellness,07590 499747,5/5 (14 reviews),,,unit8,website,missing_name,,false,,info@nourishedmoves.com,Nourished Moves; Graduate Practitioner Logo.png,annie@nourishedmoves.com; nourished.moves@nourishedmoves.com; n.moves@nourishedmoves.com; nourished@nourishedmoves.com; moves@nourishedmoves.com; nourished_moves@nourishedmoves.com; nourishedmoves@nourishedmoves.com; nourishedm@nourishedmoves.com; nm@nourishedmoves.com,; ,TRUE,,,,,,both,,,,,1,2,placeholder_name_detected:Nourished Moves,,2026-02-10,priority,,
Aroma Beauty & Massage Therapy,https://aroma-beautymassage.co.uk/,Massage Therapy,,info@aroma-beautymassage.co.uk,,"44 High St, Godalming GU7 1DY, UK",,,9,"Massage therapy requires a quiet, professional space for client sessions.",wellness,07988 447188,4.3/5 (13 reviews),,,unit8,website,missing_name,,false,,info@aroma-beautymassage.co.uk,Aroma Beauty Massage Godalming,aroma.godalming@aroma-beautymassage.co.uk; a.godalming@aroma-beautymassage.co.uk; aroma@aroma-beautymassage.co.uk; godalming@aroma-beautymassage.co.uk; aroma_godalming@aroma-beautymassage.co.uk; aromagodalming@aroma-beautymassage.co.uk; aromag@aroma-beautymassage.co.uk; ag@aroma-beautymassage.co.uk,,FALSE,,,,,,generic,,,,,1,2,rejected_invalid_name:Aroma Beauty Massage Godalming,,2026-02-10,priority,,
Atchara Thai Spa and Massage,http://atcharathaispaandmassage.com/,Massage Therapy,,,,"Farncombe, Godalming GU7 3EJ, UK",,,9,"Massage therapy requires a quiet, professional space for client sessions.",wellness,07514 852477,5/5 (31 reviews),,,unit8,not_found,incomplete,,,,info@atcharathaispaandmassage.com,,,,,,,,,,generic,,,,,1,1,website_no_data,,2026-02-10,fallback,,
Sansara Thai Spa,http://www.sansarathai.com/,Massage Therapy,,jennifer@sansarathai.com,,"140 High St, Godalming GU7 1AB, UK",,,9,"Massage therapy requires a quiet, professional space for client sessions.",wellness,07895 890894,4.5/5 (29 reviews),,,unit8,website,missing_name,,false,,info@sansarathai.com,Sansara Thai Massage; Theravadic Tradition; Learn More...; Tranquil Surroundings; Further Details,theravadic.tradition@sansarathai.com; t.tradition@sansarathai.com; theravadic@sansarathai.com; tradition@sansarathai.com; theravadic_tradition@sansarathai.com; theravadictradition@sansarathai.com; theravadict@sansarathai.com; tt@sansarathai.com,; ; ; ; ,TRUE,,,,,learn.more@sansarathai.com; l.more@sansarathai.com; learn@sansarathai.com; more@sansarathai.com; learn_more@sansarathai.com; learnmore@sansarathai.com; learnm@sansarathai.com; lm@sansarathai.com; tranquil.surroundings@sansarathai.com; t.surroundings@sansarathai.com; tranquil@sansarathai.com; surroundings@sansarathai.com; tranquil_surroundings@sansarathai.com; tranquilsurroundings@sansarathai.com; tranquils@sansarathai.com; ts@sansarathai.com; further.details@sansarathai.com; f.details@sansarathai.com; further@sansarathai.com; details@sansarathai.com; further_details@sansarathai.com; furtherdetails@sansarathai.com; furtherd@sansarathai.com; fd@sansarathai.com,both,,,,,1,2,timeout_exceeded,,2026-02-10,priority,,
Senses & Beauty,https://www.sensesandbeauty.com/,Massage Therapy,,godalming@sensesandbeauty.com,https://www.linkedin.com/company/wix-com,"4 Moss Ln, Godalming GU7 1EF, UK",,,9,"Massage therapy requires a quiet, professional space for client sessions.",wellness,01483 614258,5/5 (100 reviews),,,unit8,website,missing_name,,false,false,info@sensesandbeauty.com,Moss Lane; Opening Hours; Extended Bikini; Full Arms; Full Legs; Half Legs; Gel Manicure; Gel Removal,godalming@sensesandbeauty.com; moss.lane@sensesandbeauty.com; m.lane@sensesandbeauty.com; moss@sensesandbeauty.com; lane@sensesandbeauty.com; moss_lane@sensesandbeauty.com; mosslane@sensesandbeauty.com; mossl@sensesandbeauty.com; ml@sensesandbeauty.com,; ; ; ; ; ; ; ,TRUE,,,,,,both,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:Moss Lane; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
On Cloud Nine Therapies,http://www.oncloudninetherapies.co.uk/,General Wellness,,,,"Godalming GU7 2JW, UK",,,9,"Massage therapy requires a quiet, professional space for client treatments.",wellness,,5/5 (2 reviews),,,unit8,not_found,incomplete,,,,info@oncloudninetherapies.co.uk,,,,,,,,,,generic,,,,,1,1,website_no_data,,2026-02-10,fallback,,
Mobile Sports Massage Godalming,http://www.godalmingsportsmassage.com/,Massage therapy,,,,"High St, Godalming GU7 1DY, UK",,,9,Ideal for client-facing massage therapy in a professional space,wellness,07970 906812,5/5 (3 reviews),,,unit8,not_found,incomplete,,,,info@godalmingsportsmassage.com,,,,,,,,,,generic,,,,,1,1,website_no_data,,2026-02-10,fallback,,
Serenity - Holistic Therapies,https://www.serenity-holistictherapies.co.uk/,General Wellness,,serenitygoodhealth@gmail.com,,"Meadrow, Godalming GU7 3HP, UK",,,9,"Holistic health practitioners are well-suited for a small, professional space.",wellness,07748 977535,,,,unit8,website,missing_name,,false,,info@serenity-holistictherapies.co.uk,Holistic Therapies; Call Now,holistic.therapies@serenity-holistictherapies.co.uk; h.therapies@serenity-holistictherapies.co.uk; holistic@serenity-holistictherapies.co.uk; therapies@serenity-holistictherapies.co.uk; holistic_therapies@serenity-holistictherapies.co.uk; holistictherapies@serenity-holistictherapies.co.uk; holistict@serenity-holistictherapies.co.uk; ht@serenity-holistictherapies.co.uk,; ,TRUE,,,,,,both,,,,,1,2,rejected_invalid_name:Holistic Therapies,,2026-02-10,priority,,
Godalming Leisure Centre,https://www.everyoneactive.com/centre/godalming-leisure-centre/,Fitness & Wellness,,,,"Farncombe, Godalming GU7 3BH, UK",,,1,Large gym chain not suitable for small professional space,wellness,01483 410500,4.1/5 (219 reviews),,,unit8,not_found,incomplete,,,,info@everyoneactive.com,,,,,,,,,,generic,,,,,1,1,website_no_data,,2026-02-10,fallback,,
The Fountain Beauty Therapy,https://fountainbeauty.co.uk/,General Wellness,,,,"Hurtmore, Godalming GU7 2RL, UK",,,6,"Wellness and spa services fit well in a professional space, but may not require clinical features.",wellness,01483 527439,5/5 (176 reviews),,,unit8,companies_house,incomplete,,,false,info@fountainbeauty.co.uk,Fountain Beauty,fountain.beauty@fountainbeauty.co.uk; f.beauty@fountainbeauty.co.uk; fountainb@fountainbeauty.co.uk; fb@fountainbeauty.co.uk; beauty@fountainbeauty.co.uk; fountain@fountainbeauty.co.uk; fountain_beauty@fountainbeauty.co.uk; fountainbeauty@fountainbeauty.co.uk,,FALSE,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:Fountain Beauty; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
Birth Reborn Hypnobirthing,http://www.birthreborn.co.uk/,Hypnobirthing,,,,"Godalming GU7 3EU, UK",,,7,"Suitable for client-facing wellness practices, but may not require a full clinical space.",wellness,07500 709351,5/5 (5 reviews),,,unit8,not_found,incomplete,,,,info@birthreborn.co.uk,,,,,,,,,,generic,,,,,1,1,website_no_data,,2026-02-10,fallback,,
Beau Honey Hypnotherapy,http://www.beauhoney.com/,Hypnotherapy,,,,"Wonersh, Guildford GU5 0PH, UK",,,8,Hypnotherapy is a client-facing health practice that fits well in a professional space.,wellness,07767 618194,5/5 (27 reviews),,,unit8,not_found,incomplete,,,,info@beauhoney.com,,,,,,,,,,generic,,,,,1,1,timeout_exceeded,,2026-02-10,fallback,,
Simple Holistic Nutrition,https://www.simpleholisticnutrition.co.uk/,General Wellness,,liana@simpleholisticnutrition.co.uk,http://linkedin.com/in/liana-michael-0256879,"96 High St, Guildford GU1 3HE, UK",,,6,Currently home-based looking to upgrade,wellness,,4.9/5 (7 reviews),,,unit8,website,missing_name,,false,,info@simpleholisticnutrition.co.uk,Simple Holistic Nutrition; Free Discovery Call,liana@simpleholisticnutrition.co.uk; simple.nutrition@simpleholisticnutrition.co.uk; s.nutrition@simpleholisticnutrition.co.uk; simple@simpleholisticnutrition.co.uk; nutrition@simpleholisticnutrition.co.uk; simple_nutrition@simpleholisticnutrition.co.uk; simplenutrition@simpleholisticnutrition.co.uk; simplen@simpleholisticnutrition.co.uk; sn@simpleholisticnutrition.co.uk,; ,TRUE,,,,,,both,,,,,1,2,rejected_invalid_name:Simple Holistic Nutrition,,2026-02-10,priority,,
